;Coordenadas;RECENCIA;FRECUENCIA;MAGNITUD
0;-89,-179;0;0;0
1;-89,-178;0;0;0
2;-89,-177;0;0;0
3;-89,-176;0;0;0
4;-89,-175;0;0;0
5;-89,-174;0;0;0
6;-89,-173;0;0;0
7;-89,-172;0;0;0
8;-89,-171;0;0;0
9;-89,-170;0;0;0
10;-89,-169;0;0;0
11;-89,-168;0;0;0
12;-89,-167;0;0;0
13;-89,-166;0;0;0
14;-89,-165;0;0;0
15;-89,-164;0;0;0
16;-89,-163;0;0;0
17;-89,-162;0;0;0
18;-89,-161;0;0;0
19;-89,-160;0;0;0
20;-89,-159;0;0;0
21;-89,-158;0;0;0
22;-89,-157;0;0;0
23;-89,-156;0;0;0
24;-89,-155;0;0;0
25;-89,-154;0;0;0
26;-89,-153;0;0;0
27;-89,-152;0;0;0
28;-89,-151;0;0;0
29;-89,-150;0;0;0
30;-89,-149;0;0;0
31;-89,-148;0;0;0
32;-89,-147;0;0;0
33;-89,-146;0;0;0
34;-89,-145;0;0;0
35;-89,-144;0;0;0
36;-89,-143;0;0;0
37;-89,-142;0;0;0
38;-89,-141;0;0;0
39;-89,-140;0;0;0
40;-89,-139;0;0;0
41;-89,-138;0;0;0
42;-89,-137;0;0;0
43;-89,-136;0;0;0
44;-89,-135;0;0;0
45;-89,-134;0;0;0
46;-89,-133;0;0;0
47;-89,-132;0;0;0
48;-89,-131;0;0;0
49;-89,-130;0;0;0
50;-89,-129;0;0;0
51;-89,-128;0;0;0
52;-89,-127;0;0;0
53;-89,-126;0;0;0
54;-89,-125;0;0;0
55;-89,-124;0;0;0
56;-89,-123;0;0;0
57;-89,-122;0;0;0
58;-89,-121;0;0;0
59;-89,-120;0;0;0
60;-89,-119;0;0;0
61;-89,-118;0;0;0
62;-89,-117;0;0;0
63;-89,-116;0;0;0
64;-89,-115;0;0;0
65;-89,-114;0;0;0
66;-89,-113;0;0;0
67;-89,-112;0;0;0
68;-89,-111;0;0;0
69;-89,-110;0;0;0
70;-89,-109;0;0;0
71;-89,-108;0;0;0
72;-89,-107;0;0;0
73;-89,-106;0;0;0
74;-89,-105;0;0;0
75;-89,-104;0;0;0
76;-89,-103;0;0;0
77;-89,-102;0;0;0
78;-89,-101;0;0;0
79;-89,-100;0;0;0
80;-89,-99;0;0;0
81;-89,-98;0;0;0
82;-89,-97;0;0;0
83;-89,-96;0;0;0
84;-89,-95;0;0;0
85;-89,-94;0;0;0
86;-89,-93;0;0;0
87;-89,-92;0;0;0
88;-89,-91;0;0;0
89;-89,-90;0;0;0
90;-89,-89;0;0;0
91;-89,-88;0;0;0
92;-89,-87;0;0;0
93;-89,-86;0;0;0
94;-89,-85;0;0;0
95;-89,-84;0;0;0
96;-89,-83;0;0;0
97;-89,-82;0;0;0
98;-89,-81;0;0;0
99;-89,-80;0;0;0
100;-89,-79;0;0;0
101;-89,-78;0;0;0
102;-89,-77;0;0;0
103;-89,-76;0;0;0
104;-89,-75;0;0;0
105;-89,-74;0;0;0
106;-89,-73;0;0;0
107;-89,-72;0;0;0
108;-89,-71;0;0;0
109;-89,-70;0;0;0
110;-89,-69;0;0;0
111;-89,-68;0;0;0
112;-89,-67;0;0;0
113;-89,-66;0;0;0
114;-89,-65;0;0;0
115;-89,-64;0;0;0
116;-89,-63;0;0;0
117;-89,-62;0;0;0
118;-89,-61;0;0;0
119;-89,-60;0;0;0
120;-89,-59;0;0;0
121;-89,-58;0;0;0
122;-89,-57;0;0;0
123;-89,-56;0;0;0
124;-89,-55;0;0;0
125;-89,-54;0;0;0
126;-89,-53;0;0;0
127;-89,-52;0;0;0
128;-89,-51;0;0;0
129;-89,-50;0;0;0
130;-89,-49;0;0;0
131;-89,-48;0;0;0
132;-89,-47;0;0;0
133;-89,-46;0;0;0
134;-89,-45;0;0;0
135;-89,-44;0;0;0
136;-89,-43;0;0;0
137;-89,-42;0;0;0
138;-89,-41;0;0;0
139;-89,-40;0;0;0
140;-89,-39;0;0;0
141;-89,-38;0;0;0
142;-89,-37;0;0;0
143;-89,-36;0;0;0
144;-89,-35;0;0;0
145;-89,-34;0;0;0
146;-89,-33;0;0;0
147;-89,-32;0;0;0
148;-89,-31;0;0;0
149;-89,-30;0;0;0
150;-89,-29;0;0;0
151;-89,-28;0;0;0
152;-89,-27;0;0;0
153;-89,-26;0;0;0
154;-89,-25;0;0;0
155;-89,-24;0;0;0
156;-89,-23;0;0;0
157;-89,-22;0;0;0
158;-89,-21;0;0;0
159;-89,-20;0;0;0
160;-89,-19;0;0;0
161;-89,-18;0;0;0
162;-89,-17;0;0;0
163;-89,-16;0;0;0
164;-89,-15;0;0;0
165;-89,-14;0;0;0
166;-89,-13;0;0;0
167;-89,-12;0;0;0
168;-89,-11;0;0;0
169;-89,-10;0;0;0
170;-89,-9;0;0;0
171;-89,-8;0;0;0
172;-89,-7;0;0;0
173;-89,-6;0;0;0
174;-89,-5;0;0;0
175;-89,-4;0;0;0
176;-89,-3;0;0;0
177;-89,-2;0;0;0
178;-89,-1;0;0;0
179;-89,-0;0;0;0
180;-89,0;0;0;0
181;-89,1;0;0;0
182;-89,2;0;0;0
183;-89,3;0;0;0
184;-89,4;0;0;0
185;-89,5;0;0;0
186;-89,6;0;0;0
187;-89,7;0;0;0
188;-89,8;0;0;0
189;-89,9;0;0;0
190;-89,10;0;0;0
191;-89,11;0;0;0
192;-89,12;0;0;0
193;-89,13;0;0;0
194;-89,14;0;0;0
195;-89,15;0;0;0
196;-89,16;0;0;0
197;-89,17;0;0;0
198;-89,18;0;0;0
199;-89,19;0;0;0
200;-89,20;0;0;0
201;-89,21;0;0;0
202;-89,22;0;0;0
203;-89,23;0;0;0
204;-89,24;0;0;0
205;-89,25;0;0;0
206;-89,26;0;0;0
207;-89,27;0;0;0
208;-89,28;0;0;0
209;-89,29;0;0;0
210;-89,30;0;0;0
211;-89,31;0;0;0
212;-89,32;0;0;0
213;-89,33;0;0;0
214;-89,34;0;0;0
215;-89,35;0;0;0
216;-89,36;0;0;0
217;-89,37;0;0;0
218;-89,38;0;0;0
219;-89,39;0;0;0
220;-89,40;0;0;0
221;-89,41;0;0;0
222;-89,42;0;0;0
223;-89,43;0;0;0
224;-89,44;0;0;0
225;-89,45;0;0;0
226;-89,46;0;0;0
227;-89,47;0;0;0
228;-89,48;0;0;0
229;-89,49;0;0;0
230;-89,50;0;0;0
231;-89,51;0;0;0
232;-89,52;0;0;0
233;-89,53;0;0;0
234;-89,54;0;0;0
235;-89,55;0;0;0
236;-89,56;0;0;0
237;-89,57;0;0;0
238;-89,58;0;0;0
239;-89,59;0;0;0
240;-89,60;0;0;0
241;-89,61;0;0;0
242;-89,62;0;0;0
243;-89,63;0;0;0
244;-89,64;0;0;0
245;-89,65;0;0;0
246;-89,66;0;0;0
247;-89,67;0;0;0
248;-89,68;0;0;0
249;-89,69;0;0;0
250;-89,70;0;0;0
251;-89,71;0;0;0
252;-89,72;0;0;0
253;-89,73;0;0;0
254;-89,74;0;0;0
255;-89,75;0;0;0
256;-89,76;0;0;0
257;-89,77;0;0;0
258;-89,78;0;0;0
259;-89,79;0;0;0
260;-89,80;0;0;0
261;-89,81;0;0;0
262;-89,82;0;0;0
263;-89,83;0;0;0
264;-89,84;0;0;0
265;-89,85;0;0;0
266;-89,86;0;0;0
267;-89,87;0;0;0
268;-89,88;0;0;0
269;-89,89;0;0;0
270;-89,90;0;0;0
271;-89,91;0;0;0
272;-89,92;0;0;0
273;-89,93;0;0;0
274;-89,94;0;0;0
275;-89,95;0;0;0
276;-89,96;0;0;0
277;-89,97;0;0;0
278;-89,98;0;0;0
279;-89,99;0;0;0
280;-89,100;0;0;0
281;-89,101;0;0;0
282;-89,102;0;0;0
283;-89,103;0;0;0
284;-89,104;0;0;0
285;-89,105;0;0;0
286;-89,106;0;0;0
287;-89,107;0;0;0
288;-89,108;0;0;0
289;-89,109;0;0;0
290;-89,110;0;0;0
291;-89,111;0;0;0
292;-89,112;0;0;0
293;-89,113;0;0;0
294;-89,114;0;0;0
295;-89,115;0;0;0
296;-89,116;0;0;0
297;-89,117;0;0;0
298;-89,118;0;0;0
299;-89,119;0;0;0
300;-89,120;0;0;0
301;-89,121;0;0;0
302;-89,122;0;0;0
303;-89,123;0;0;0
304;-89,124;0;0;0
305;-89,125;0;0;0
306;-89,126;0;0;0
307;-89,127;0;0;0
308;-89,128;0;0;0
309;-89,129;0;0;0
310;-89,130;0;0;0
311;-89,131;0;0;0
312;-89,132;0;0;0
313;-89,133;0;0;0
314;-89,134;0;0;0
315;-89,135;0;0;0
316;-89,136;0;0;0
317;-89,137;0;0;0
318;-89,138;0;0;0
319;-89,139;0;0;0
320;-89,140;0;0;0
321;-89,141;0;0;0
322;-89,142;0;0;0
323;-89,143;0;0;0
324;-89,144;0;0;0
325;-89,145;0;0;0
326;-89,146;0;0;0
327;-89,147;0;0;0
328;-89,148;0;0;0
329;-89,149;0;0;0
330;-89,150;0;0;0
331;-89,151;0;0;0
332;-89,152;0;0;0
333;-89,153;0;0;0
334;-89,154;0;0;0
335;-89,155;0;0;0
336;-89,156;0;0;0
337;-89,157;0;0;0
338;-89,158;0;0;0
339;-89,159;0;0;0
340;-89,160;0;0;0
341;-89,161;0;0;0
342;-89,162;0;0;0
343;-89,163;0;0;0
344;-89,164;0;0;0
