"","coordenadas","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","media","predictLMLOG","predictRF","predictRFlog"
"1","-0,-103",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"2","-0,-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"3","-0,-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"4","-0,-13",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1
"5","-0,-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"6","-0,-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"7","-0,-16",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,2,0,1
"8","-0,-17",0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,6,1,2,1,2
"9","-0,-18",0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,0,3,1,2,1,2
"10","-0,-19",0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,1,2,1,1,2,1,2
"11","-0,-20",0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,2,0,1
"12","-0,-21",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,2,0,1
"13","-0,-22",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
"14","-0,-23",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"15","-0,-24",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"16","-0,-74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"17","-0,-76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"18","-0,-77",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,1
"19","-0,-78",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,0,2,0,1
"20","-0,-79",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"21","-0,-80",0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,41,2,3,2,3
"22","-0,-81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1
"23","-0,-90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"24","-0,-91",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1
"25","-0,-95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"26","-0,100",0,0,0,0,0,0,0,0,1,6,1,1,3,1,1,1,1,1,0,1,2,1,2
"27","-0,101",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,1
"28","-0,119",0,0,0,0,0,0,0,1,0,0,1,0,1,3,2,4,1,1,0,1,2,1,2
"29","-0,120",0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,2,5,1,2,1,2
"30","-0,121",0,0,0,0,0,0,0,1,0,1,0,1,3,3,0,3,1,3,1,1,2,1,2
"31","-0,122",0,0,0,0,0,0,0,0,1,2,6,2,8,2,5,5,8,11,1,3,2,3,4
"32","-0,123",0,0,0,0,0,0,0,1,8,0,7,8,5,2,9,14,18,11,12,5,2,5,6
"33","-0,124",0,0,0,0,0,0,0,1,4,8,6,4,6,7,5,5,7,5,5,3,2,3,4
"34","-0,125",0,0,0,0,0,0,0,4,14,6,7,3,10,3,8,6,17,3,11,5,3,5,6
"35","-0,126",0,0,0,0,0,0,0,1,0,3,1,1,0,4,12,0,1,1,3,1,2,1,2
"36","-0,127",0,0,0,0,0,0,0,0,1,13,0,2,2,2,3,3,4,0,2,2,2,2,3
"37","-0,128",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1
"38","-0,129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1
"39","-0,130",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,2,0,1
"40","-0,131",0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,2,2,5,3,1,2,1,2
"41","-0,132",0,0,0,0,0,0,0,0,0,0,2,61,3,4,3,1,3,0,2,4,2,4,4
"42","-0,133",0,0,0,0,0,0,0,0,0,0,1,79,6,1,7,3,1,1,2,5,2,5,5
"43","-0,134",0,0,0,0,0,0,1,0,0,1,1,4,2,0,0,1,1,1,0,1,2,1,2
"44","-0,135",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,2,0,1
"45","-0,136",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
"46","-0,137",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1
"47","-0,138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"48","-0,146",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1
"49","-0,147",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1
"50","-0,148",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"51","-0,149",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
"52","-0,25",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
"53","-0,29",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1
"54","-0,30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"55","-0,33",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
"56","-0,34",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
"57","-0,36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"58","-0,67",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1
"59","-0,84",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"60","-0,89",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"61","-0,91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1
"62","-0,92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1
"63","-0,96",0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,0,2,0,1
"64","-0,97",0,0,0,0,0,0,0,1,0,0,0,4,0,1,4,2,3,1,0,1,2,1,2
"65","-0,98",0,0,0,0,0,0,0,0,0,1,1,5,1,0,3,6,2,3,0,1,2,1,2
"66","-0,99",0,0,0,0,0,0,0,4,0,2,3,3,7,1,2,3,1,1,1,1,2,1,2
"67","-1,-102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"68","-1,-103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"69","-1,-105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"70","-1,-12",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,1
"71","-1,-13",0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,1,1,2,1,2,1,2
"72","-1,-14",0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,2,0,1
"73","-1,-15",0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,0,2,3,1,2,1,2
"74","-1,-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1
"75","-1,-168",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1
"76","-1,-23",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1
"77","-1,-24",0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,2,0,1
