"","coordenadas","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","media","predictLMLOG","predictRF","predictRFlog"
"1","AFGHANISTAN",0,0,0,1,0,0,10,72,64,92,103,68,72,74,98,124,107,143,158,62,51,67,67
"2","ALBANIA",52,54,41,46,57,54,109,103,156,176,318,679,576,370,490,338,350,342,226,239,83,241,249
"3","ALGERIA",9,25,43,30,18,85,117,177,178,401,385,340,531,374,44,30,37,65,100,157,34,179,170
"4","ANGUILLA",0,0,0,0,0,0,0,0,2,0,0,3,3,4,3,2,8,9,17,3,33,3,3
"5","ANTARCTICA",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,33,0,1
"6","ANTIGUA AND BARBUDA",0,0,0,0,0,0,2,0,0,2,0,0,1,1,2,7,8,0,10,2,33,2,3
"7","ARGENTINA",0,0,0,0,0,0,4,32,41,35,46,67,54,72,226,372,328,406,420,111,54,114,99
"8","ARMENIA",0,0,2,0,2,1,3,5,13,26,28,26,30,58,13,14,12,17,12,14,33,16,16
"9","ARUBA",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,33,0,1
"10","ASCENSION",4,2,1,0,0,0,0,9,4,16,13,11,6,18,11,17,12,14,23,8,38,9,10
"11","AUSTRALIA",0,0,0,0,0,0,3,10,18,17,15,19,19,20,24,16,22,174,607,51,46,47,42
"12","AUSTRIA",15,18,15,15,9,24,37,62,45,294,347,290,298,546,35,45,20,22,42,115,41,126,121
"13","AZERBAIJAN",7,8,38,12,14,7,7,24,26,250,70,88,43,77,112,48,68,61,47,53,14,66,57
"14","BANGLADESH",0,0,0,0,0,0,1,3,3,2,4,2,1,0,1,3,2,5,5,2,34,2,3
"15","BARBADOS",0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,14,3,1,34,1,2
"16","BELARUS",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1
"17","BELGIUM",14,4,4,17,15,17,6,6,5,7,49,53,22,17,3,3,1,8,5,13,39,21,14
"18","BELIZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,1
"19","BERMUDA ISLANDS",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,33,0,1
"20","BHUTAN",0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,1,0,2,1,33,1,2
"21","BOLIVIA",0,0,0,0,0,0,0,8,10,15,17,23,22,15,69,143,125,118,145,37,37,43,43
"22","BOSNIA AND HERZEGOVINA",22,12,15,11,8,12,18,38,45,72,300,258,323,557,83,69,78,81,79,110,54,117,112
"23","BOTSWANA",0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,33,0,1
"24","BOUVET ISLAND",0,0,0,0,0,0,0,4,1,1,5,3,0,4,4,3,3,2,3,2,33,3,3
"25","BRAZIL",0,0,0,0,0,0,0,2,2,3,1,4,6,0,1,2,2,11,2,2,34,2,3
"26","BULGARIA",17,22,13,15,18,11,26,46,97,92,173,180,177,193,70,133,92,65,73,80,47,97,94
