reg;country
AZORES-CAPE ST. VINCENT RIDGE;PORTUGAL
PYRENEES;SPAIN
OWEN FRACTURE ZONE REGION;SOMALIA
CENTRAL MID-ATLANTIC RIDGE;SEA
JAN MAYEN ISLAND REGION;NORWAY
BAY OF BISCAY;FRANCE
NORTH OF ASCENSION ISLAND;ASCENSION
NORTHERN MID-ATLANTIC RIDGE;SEA
WALES-ENGLAND REGION, U.K.;UNITED KINGDOM
AZORES ISLANDS REGION;PORTUGAL
SVALBARD REGION;NORWAY
CARLSBERG RIDGE;SEA
ENGLISH CHANNEL;FRANCE
GULF OF ADEN;YEMEN
BRISTOL CHANNEL REGION, U.K.;UNITED KINGDOM
GULF OF BOTHNIA;FINLAND
,;ITALY
CARLSBERG RIDGE                        ,;SEA
NORTH OF ASCENSION ISLAND              ,;ASCENSION
PERSIAN GULF;IRAN
REYKJANES RIDGE;SEA
CENTRAL MID-ATLANTIC RIDGE             ,;SEA
NORTH OF SVALBARD;NORWAY
STRAIT OF HORMUZ;UNITED ARAB EMIRATES
SOUTHEAST OF LOYALTY ISLANDS;NEW CALEDONIA
KURIL ISLANDS;RUSSIA
NORTHWEST OF RYUKYU ISLANDS;JAPAN
PACIFIC-ANTARCTIC RIDGE;SEA
ROTA REGION, N. MARIANA ISLANDS;GUAM
SOUTH SANDWICH ISLANDS REGION;SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
NEAR EAST COAST OF KAMCHATKA;RUSSIA
NORTHWESTERN KASHMIR;INDIA
PRINCE EDWARD ISLANDS REGION;SEA
KASHMIR-XINJIANG BORDER REGION;CHINA
PHILIPPINE ISLANDS REGION;PHILIPPINES
FOX ISLANDS, ALEUTIAN ISLANDS;UNITED STATES OF AMERICA
BALLENY ISLANDS REGION;SEA
EASTERN XIZANG;CHINA
WESTERN XIZANG;CHINA
NEW BRITAIN REGION, P.N.G.;PAPUA NEW GUINEA
STATE OF YAP, MICRONESIA;MICRONESIA
SOUTHWESTERN KASHMIR;INDIA
NORTHERN EAST PACIFIC RISE;SEA
NEAR ISLANDS, ALEUTIAN ISLANDS;UNITED STATES OF AMERICA
SANTA CRUZ ISLANDS REGION;SOLOMON ISLANDS
NEAR S. COAST OF WESTERN HONSHU;JAPAN
NORTHWEST OF KURIL ISLANDS;RUSSIA
OFF W. COAST OF S. ISLAND, N.Z.;NEW ZEALAND
RAT ISLANDS, ALEUTIAN ISLANDS;UNITED STATES OF AMERICA
EASTER ISLAND REGION;SEA
ANDREANOF ISLANDS, ALEUTIAN IS.;UNITED STATES OF AMERICA
SOUTH OF KERMADEC ISLANDS;NEW ZEALAND
SOUTHERN MID-ATLANTIC RIDGE;SEA
EAST OF KURIL ISLANDS;RUSSIA
SOUTHERN EAST PACIFIC RISE;SEA
NORTH OF SEVERNAYA ZEMLYA;RUSSIA
NORTH OF MACQUARIE ISLAND;AUSTRALIA
OFF W COAST OF NORTHERN SUMATRA;INDONESIA
SOUTH OF AFRICA;SEA
REVILLA GIGEDO ISLANDS REGION;MEXICO
BOUGAINVILLE REGION, P.N.G.;PAPUA NEW GUINEA
SOUTH OF ALEUTIAN ISLANDS;UNITED STATES OF AMERICA
KERMADEC ISLANDS REGION;NEW ZEALAND
BAY OF BENGAL;MYANMAR
PAGAN REG., N. MARIANA ISLANDS;GUAM
STRAIT OF MALACCA;INDONESIA
ANATAHAN REG, N. MARIANA ISLANDS;GUAM
WEST OF MACQUARIE ISLAND;AUSTRALIA
MAUG ISLANDS REG, N. MARIANA IS.;GUAM
WEST OF VANCOUVER ISLAND;CANADA
SOUTHEAST OF EASTER ISLAND;SEA
TRISTAN DA CUNHA REGION;SEA
OFF COAST OF CENTRAL AMERICA;COSTA RICA
SAIPAN REG., N. MARIANA ISLANDS;GUAM
EASTERN KASHMIR;INDIA
EAST OF SEVERNAYA ZEMLYA;RUSSIA
OFF EAST COAST OF KAMCHATKA;RUSSIA
SOUTH OF MARIANA ISLANDS;GUAM
MACQUARIE ISLAND REGION;AUSTRALIA
ASCENSION ISLAND REGION;ASCENSION
EAST OF SOUTH SANDWICH ISLANDS;SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
SOUTHWEST OF AFRICA;SEA
SOUTHEAST OF RYUKYU ISLANDS;JAPAN
EAST OF NORTH ISLAND, N.Z.;NEW ZEALAND
LOYALTY ISLANDS;NEW CALEDONIA
OFF E. COAST OF N. ISLAND, N.Z.;NEW ZEALAND
MARIANA ISLANDS REGION;GUAM
QUEEN CHARLOTTE ISLANDS REGION;CANADA
GREATER LOS ANGELES AREA, CALIF.;UNITED STATES OF AMERICA
CENTRAL EAST PACIFIC RISE;SEA
SOUTH SHETLAND ISLANDS;SEA
CHAGOS ARCHIPELAGO REGION;SEA
SANTA CRUZ ISLANDS;SOLOMON ISLANDS
ADMIRALTY ISLANDS REGION, P.N.G.;PAPUA NEW GUINEA
AUCKLAND ISLANDS, N.Z. REGION;NEW ZEALAND
ALAMAGAN REG, N. MARIANA ISLANDS;GUAM
WEST OF BONIN ISLANDS;JAPAN
XINJIANG-XIZANG BORDER REGION;CHINA
LAKE TANGANYIKA REGION;TANZANIA
XIZANG-SICHUAN BORDER REGION;CHINA
" ""D'ENTRECASTEAUX ISLANDS REGION"",";PAPUA NEW GUINEA
XIZANG-QINGHAI BORDER REGION;CHINA
GALAPAGOS ISLANDS REGION;ECUADOR
NORTH OF FRANZ JOSEF LAND;SEA
WEST OF GALAPAGOS ISLANDS;ECUADOR
ST. MARTIN REGION, LEEWARD ISL.;ANGUILLA
EAST OF TRINIDAD;TRINIDAD AND TOBAGO
DRAKE PASSAGE;ARGENTINA
BAY OF CAMPECHE;MEXICO
ISLAS MARIAS REG., NAYARIT, MEX.;MEXICO
TRINIDAD REGION, TRINIDAD-TOBAGO;TRINIDAD AND TOBAGO
SOCOTRA REGION;YEMEN
TIMOR REGION;EAST TIMOR
SOUTH OF TIMOR;EAST TIMOR
