"","coordenadas","RECENCIA","FRECUENCIA","MAGNITUD","Segmento"
"1","-0,-103",0,0,0,8
"2","-0,-11",262,1,5.1,5
"3","-0,-12",181,1,4.8,5
"4","-0,-13",0,0,0,8
"5","-0,-14",952,1,4.7,6
"6","-0,-15",494,1,4.9,3
"7","-0,-16",494,3,4.8,3
"8","-0,-17",95,7,5.18571428571429,5
"9","-0,-18",125,5,5.3,5
"10","-0,-19",21,6,4.91666666666667,5
"11","-0,-20",736,2,5,6
"12","-0,-21",136,3,5.3,5
"13","-0,-22",0,0,0,8
"14","-0,-23",0,0,0,8
"15","-0,-24",0,0,0,8
"16","-0,-74",341,1,3.3,3
"17","-0,-76",247,1,4,5
"18","-0,-77",742,2,4.55,6
"19","-0,-78",96,5,4.38,5
"20","-0,-79",0,0,0,8
"21","-0,-80",41,43,4.75813953488372,5
"22","-0,-81",67,5,4.02,5
"23","-0,-90",0,0,0,8
"24","-0,-91",0,0,0,8
"25","-0,-95",7,1,4.4,5
"26","-0,100",439,4,4.7,3
"27","-0,101",1353,2,4.2,7
"28","-0,119",657,8,4.7,3
"29","-0,120",108,8,4.475,5
"30","-0,121",162,8,4.7125,5
"31","-0,122",282,30,4.66,5
"32","-0,123",55,64,4.5703125,5
"33","-0,124",9,27,4.73703703703704,5
"34","-0,125",33,45,4.75555555555556,5
"35","-0,126",271,17,4.88235294117647,5
"36","-0,127",28,12,4.59166666666667,5
"37","-0,128",0,0,0,8
"38","-0,129",307,3,4.5,5
"39","-0,130",242,4,4.675,5
"40","-0,131",7,14,4.61428571428571,5
"41","-0,132",36,9,4.77777777777778,5
"42","-0,133",81,14,4.83571428571429,5
"43","-0,134",655,3,5.03333333333333,3
"44","-0,135",582,7,4.9,3
"45","-0,136",0,0,0,8
"46","-0,137",1295,1,4.6,7
"47","-0,138",1674,1,4.5,7
"48","-0,146",0,0,0,8
"49","-0,147",1425,1,5,7
"50","-0,148",0,0,0,8
"51","-0,149",0,0,0,8
"52","-0,25",0,0,0,8
"53","-0,29",403,1,4.6,3
"54","-0,30",1503,1,5,7
"55","-0,33",0,0,0,8
"56","-0,34",0,0,0,8
"57","-0,36",1720,1,4.6,7
"58","-0,67",1777,1,4.6,7
"59","-0,84",0,0,0,8
"60","-0,89",0,0,0,8
"61","-0,91",1363,2,4.65,7
"62","-0,92",1594,3,4.73333333333333,7
"63","-0,96",331,3,4.63333333333333,3
"64","-0,97",420,10,4.64,3
"65","-0,98",405,14,4.77857142857143,3
"66","-0,99",351,8,4.85,3
"67","-1,-102",1055,1,4.5,6
"68","-1,-103",1682,1,4.6,7
"69","-1,-105",949,1,4.3,6
