"","paises","RECENCIA","FRECUENCIA","MAGNITUD","Segmento"
"1","AFGHANISTAN",4,630,4.39412698412698,3
"2","ALBANIA",2,1746,2.58997709049255,1
"3","ALGERIA",5,276,3.65724637681159,1
"4","ANGUILLA",33,39,3.50769230769231,1
"5","ANTARCTICA",869,2,5.1,4
"6","ANTIGUA AND BARBUDA",67,27,4.6037037037037,3
"7","ARGENTINA",1,1752,3.94018264840183,1
"8","ARMENIA",34,68,2.83529411764706,1
"9","ARUBA",821,3,4.7,4
"10","ASCENSION",41,77,4.9974025974026,3
"11","AUSTRALIA",2,843,3.01304863582444,1
"12","AUSTRIA",3,164,2.42073170731707,1
"13","AZERBAIJAN",3,336,3.4764880952381,1
"14","BANGLADESH",47,16,4.53125,3
"15","BARBADOS",40,17,4.71176470588235,3
"16","BELARUS",0,0,0,5
"17","BELGIUM",113,20,1.575,1
"18","BELIZE",1309,1,4.6,4
"19","BERMUDA ISLANDS",0,0,0,5
"20","BHUTAN",60,4,4.075,3
"21","BOLIVIA",1,600,3.7925,1
"22","BOSNIA AND HERZEGOVINA",5,390,2.75538461538462,1
"23","BOTSWANA",347,1,3,3
"24","BOUVET ISLAND",47,15,5.33333333333333,3
"25","BRAZIL",145,18,4.6,3
"26","BULGARIA",3,433,2.65496535796767,1
"27","BURUNDI",100,1,4.8,3
"28","CAMEROON",0,0,0,5
"29","CANADA",1,690,3.30913043478261,1
"30","CAPE VERDE",0,0,0,5
"31","CAYMAN ISLANDS",393,11,4.77272727272727,3
"32","CENTRAL AFRICAN REPUBLIC",0,0,0,5
"33","COLOMBIA",2,1887,3.17609962904081,1
"34","COMOROS",102,6,4.88333333333333,3
"35","CONGO",332,14,5.07857142857143,3
"36","COSTA RICA",5,265,4.56150943396226,3
"37","CROATIA",5,153,2.67647058823529,1
"38","CUBA",93,20,4.53,3
"39","CYPRUS",1,1596,2.58114035087719,1
"40","CZECH REPUBLIC",119,465,2.25591397849462,1
"41","CHILE",1,19499,3.37687573721729,2
"42","CHINA",4,1015,4.54748768472906,3
"43","DENMARK",1566,3,3.03333333333333,4
"44","DJIBOUTI",265,28,3.66071428571429,3
"45","DOMINICA",7,829,3.37647768395657,1
"46","EAST TIMOR",100,74,4.68513513513513,3
"47","ECUADOR",6,310,4.64064516129032,3
"48","EGYPT",5,19,4.06842105263158,3
"49","EL SALVADOR",4,285,4.51263157894737,3
"50","ERITREA",301,11,4.11818181818182,3
"51","ESTONIA",0,0,0,5
"52","ETHIOPIA",343,7,4.31428571428571,3
"53","FALKLAND ISLANDS (MALVINAS)",1133,2,6.2,4
"54","FAROE ISLANDS",0,0,0,5
"55","FIJI",1,1504,4.73809840425532,3
"56","FINLAND",1446,3,1.93333333333333,4
"57","FRANCE",2,1292,2.61160990712074,1
"58","FRENCH GUIANA",0,0,0,5
"59","FRENCH POLYNESIA",217,2,4.7,3
"60","FRENCH SOUTHERN TERRITORIES",1023,4,4.9,4
"61","GEORGIA",9,402,3.42089552238806,1
"62","GERMANY",2,508,2.10570866141732,1
"63","GIBRALTAR",3,1018,2.80667976424361,1
"64","GREECE",1,26447,2.56615873255946,2
"65","GREENLAND",12,113,3.40088495575221,1
"66","GRENADA",40,3,3.96666666666667,3
"67","GUADELOUPE",27,17,4.37647058823529,3
"68","GUAM",2,588,4.78265306122449,3
"69","GUATEMALA",3,388,4.5360824742268,3
"70","GUINEA",4,417,4.78177458033573,3
"71","HAITI",50,14,3.98571428571429,3
"72","HONDURAS",2,50,4.514,3
"73","HUNGARY",7,35,2.99142857142857,1
"74","ICELAND",66,438,4.27648401826484,3
"75","INDIA",8,822,4.78442822384428,3
"76","INDONESIA",1,4171,4.67820666506833,3
"77","IRAN",1,3155,3.6564500792393,1
"78","IRAQ",6,636,2.78380503144654,1
"79","IRELAND",3,240,4.94458333333333,3
"80","ITALY",1,11596,2.52104173853053,1
"81","JAMAICA",279,5,3.7,3
"82","JAPAN",2,3116,4.74265083440308,3
"83","JERSEY",506,1,2.7,3
"84","JORDAN",0,0,0,5
"85","KAZAKHSTAN",14,201,3.97910447761194,3
"86","KENYA",1720,2,4.85,4
"87","KIRIBATI",0,0,0,5
"88","KUWAIT",1160,5,3.82,4
"89","KYRGYZSTAN",7,294,4.17721088435374,3
"90","LAOS",254,2,4.45,3
"91","LATVIA",0,0,0,5
"92","LEBANON",16,81,3.14567901234568,1
"93","LESOTHO",118,2,3.05,1
"94","LIBERIA",0,0,0,5
"95","LIBYA",456,2,4.4,3
"96","LIECHTENSTEIN",21,12,1.975,1
"97","LUXEMBOURG",0,0,0,5
"98","MACEDONIA",1,409,2.44669926650367,1
"99","MADAGASCAR",429,2,5,3
"100","MALAWI",732,1,5.2,4
"101","MALAYSIA",440,22,3.99090909090909,3
"102","MALI",763,1,4.6,4
"103","MALTA",956,1,4.2,4
"104","MARSHALL ISLANDS",0,0,0,5
"105","MARTINIQUE",16,18,4.56666666666667,3
"106","MAURITANIA",0,0,0,5
"107","MAURITIUS",213,16,5.13125,3
"108","MEXICO",1,2435,3.73326488706366,1
"109","MICRONESIA",14,73,4.93835616438356,3
"110","MOLDOVA",49,10,2.71,1
"111","MONGOLIA",30,52,4.20384615384615,3
"112","MONTENEGRO",1,318,2.59559748427673,1
"113","MONTSERRAT",448,1,4.1,3
"114","MOROCCO",276,47,3.41702127659574,3
"115","MOZAMBIQUE",10,33,3.66363636363636,1
"116","MYANMAR",6,174,4.72183908045977,3
"117","NAMIBIA",334,2,4.6,3
"118","NEPAL",35,455,4.37340659340659,3
"119","NETHERLANDS",9,20,2.61,1
"120","NETHERLANDS ANTILLES",1308,1,4,4
"121","NEW CALEDONIA",3,222,4.90720720720721,3
"122","NEW ZEALAND",2,1489,4.65990597716588,3
"123","NICARAGUA",20,271,4.51955719557196,3
"124","NIGER",0,0,0,5
"125","NORTH KOREA",114,2,5.25,3
"126","NORWAY",3,514,2.93151750972763,1
"127","OMAN",3,1267,3.16258879242305,1
"128","PAKISTAN",15,174,4.63045977011494,3
"129","PALAU",148,13,4.90769230769231,3
"130","PANAMA",2,138,4.60942028985507,3
"131","PAPUA NEW GUINEA",1,990,4.92353535353535,3
"132","PERU",1,918,4.44466230936819,3
"133","PHILIPPINES",1,1173,4.78712702472293,3
"134","POLAND",12,727,2.94071526822558,1
"135","PORTUGAL",2,968,2.88935950413223,1
"136","PUERTO RICO",3,4575,2.79888524590164,1
"137","RUSSIA",2,2741,4.25490696825976,3
"138","RWANDA",69,1,4.7,3
"139","SAINT KITTS AND NEVIS",324,5,4.14,3
"140","SAINT LUCIA",36,8,4.1375,3
"141","SAMOA",59,59,4.94576271186441,3
"142","SAN MARINO",0,0,0,5
"143","SAUDI ARABIA",242,12,3.51666666666667,3
"144","SEA",1,9434,3.31100275598898,1
"145","SERBIA",30,243,2.72921810699588,1
"146","SIERRA LEONE",0,0,0,5
"147","SLOVAKIA",343,14,2.61428571428571,1
"148","SLOVENIA",69,120,2.46416666666667,1
"149","SOLOMON ISLANDS",5,1007,5.02462760675273,3
"150","SOMALIA",34,54,4.75740740740741,3
"151","SOUTH AFRICA",32,53,3.1377358490566,1
"152","SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS",2,423,5.01347517730496,3
"153","SOUTH KOREA",102,6,4.61666666666667,3
"154","SPAIN",5,2164,2.8297134935305,1
"155","SUDAN",0,0,0,5
"156","SWAZILAND",11,1,2.8,1
"157","SWEDEN",288,29,2.47241379310345,1
"158","SWITZERLAND",2,930,1.82677419354839,1
"159","SYRIA",8,345,2.58,1
"160","TAIWAN",2,807,4.30780669144981,3
"161","TAJIKISTAN",5,310,4.4541935483871,3
"162","TANZANIA",113,21,4.65238095238095,3
"163","THAILAND",458,15,4.56666666666667,3
"164","TOKELAU",0,0,0,5
"165","TONGA",14,670,4.9955223880597,3
"166","TRINIDAD AND TOBAGO",19,16,4.23125,3
"167","TUNISIA",213,17,3.64705882352941,3
"168","TURKEY",1,36990,2.39118951067856,2
"169","TURKMENISTAN",17,137,3.7,1
"170","TUVALU",0,0,0,5
"171","UGANDA",403,7,4.81428571428571,3
"172","UKRAINE",147,29,3.46896551724138,3
"173","UNITED ARAB EMIRATES",104,27,2.88888888888889,1
"174","UNITED KINGDOM",66,46,2.78913043478261,1
"175","UNITED STATES OF AMERICA",1,25350,2.75964102564103,2
"176","UZBEKISTAN",54,45,4.32888888888889,3
"177","VANUATU",9,615,4.93138211382114,3
"178","VENEZUELA",20,101,4.34653465346535,3
"179","VIETNAM",897,3,4.5,4
"180","VIRGIN ISLANDS",2,2776,2.81563400576369,1
"181","WESTERN SAHARA",412,1,4,3
"182","YEMEN",81,77,4.51298701298701,3
"183","ZAMBIA",85,8,4.0625,3
"184","ZIMBABWE",137,1,2.4,1
"185","ALAND ISLANDS",0,0,0,5
"186","AMERICAN SAMOA",0,0,0,5
"187","ANDORRA",0,0,0,5
"188","ANGOLA",0,0,0,5
"189","ASCENSION Y TRISTAN DE ACUNA",0,0,0,5
"190","BAHAMAS",0,0,0,5
"191","BAHRAIN",0,0,0,5
"192","BENIN",0,0,0,5
"193","BRITISH INDIAN OCEAN TERRITORY",0,0,0,5
"194","BRUNEI",0,0,0,5
"195","BURKINA FASO",0,0,0,5
"196","CAMBODIA",0,0,0,5
"197","COCOS (KEELING) ISLANDS",0,0,0,5
"198","COOK ISLANDS",0,0,0,5
"199","CHAD",0,0,0,5
"200","CHRISTMAS ISLAND",0,0,0,5
"201","DOMINICAN REPUBLIC",0,0,0,5
"202","EQUATORIAL GUINEA",0,0,0,5
"203","ESTADOS FEDERADOS DE",0,0,0,5
"204","GABON",0,0,0,5
"205","GAMBIA",0,0,0,5
"206","GHANA",0,0,0,5
"207","GUERNSEY",0,0,0,5
"208","GUINEA-BISSAU",0,0,0,5
"209","GUYANA",0,0,0,5
"210","HEARD ISLAND AND MCDONALD ISLANDS",0,0,0,5
"211","HONG KONG",0,0,0,5
"212","ISLE OF MAN",0,0,0,5
"213","ISRAEL",0,0,0,5
"214","IVORY COAST",0,0,0,5
"215","LITHUANIA",0,0,0,5
"216","MACAO",0,0,0,5
"217","MALDIVES",0,0,0,5
"218","MAYOTTE",0,0,0,5
"219","MONACO",0,0,0,5
"220","NAURU",0,0,0,5
