,coordenadas,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,media,predictLMLOG,predictRF,predictRFlog,latitud,longitud
0,"-0,-103",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,-0,-103
1,"-0,-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,-0,-11
2,"-0,-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,-0,-12
3,"-0,-13",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,-0,-13
4,"-0,-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,-0,-14
5,"-0,-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,-0,-15
6,"-0,-16",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,2,0,1,-0,-16
7,"-0,-17",0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,6,1,2,1,2,-0,-17
8,"-0,-18",0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,0,3,1,2,1,2,-0,-18
9,"-0,-19",0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,1,2,1,1,2,1,2,-0,-19
10,"-0,-20",0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,2,0,1,-0,-20
11,"-0,-21",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,2,0,1,-0,-21
12,"-0,-22",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,-0,-22
13,"-0,-23",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-0,-23
14,"-0,-24",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-0,-24
